Modelling Realm - Primary,Branded Variable Name,Variable name,CMIP7 Compound Name,Description,Units (from Physical Parameter),Dimensions,NorESM3 name (dependency),CMIP7 Freq.,notes,,
land,fNleach_tavg-u-hxy-lnd,fNleach,land.fNleach.tavg-u-hxy-lnd.mon.glb,N leaching/runoff,kg m-2 s-1,longitude latitude time,(SMIN_NO3_LEACHED+SMIN_NO3_RUNOFF)/1000,mon,,,
land,fNLitterSoil_tavg-u-hxy-lnd,fNLitterSoil,land.fNLitterSoil.tavg-u-hxy-lnd.mon.glb,Decomposition N,kg m-2 s-1,longitude latitude time,,mon,,,
land,fNloss_tavg-u-hxy-lnd,fNloss,land.fNloss.tavg-u-hxy-lnd.mon.glb,total ecosystem nitrogen loss,kg m-2 s-1,longitude latitude time,(SMIN_NO3_LEACHED+SMIN_NO3_RUNOFF+NET_NMIN)/1000,mon,,,
land,fNnetmin_tavg-u-hxy-lnd,fNnetmin,land.fNnetmin.tavg-u-hxy-lnd.mon.glb,net Nitrogen mineralisation,kg m-2 s-1,longitude latitude time,NET_NMIN/1000,mon,,,
land,fNup_tavg-u-hxy-lnd,fNup,land.fNup.tavg-u-hxy-lnd.mon.glb,Nitrogen uptake of Vegetation,kg m-2 s-1,longitude latitude time,,mon,,,
land,fpar_tavg-u-hxy-lnd,fpar,land.fpar.tavg-u-hxy-lnd.mon.glb,Absorbed fraction incoming PAR,,longitude latitude time,SABV/(FSDSVN+FSDSVD),mon,,,
land,fRootLitter_tavg-u-hxy-lnd,fRootLitter,land.fRootLitter.tavg-u-hxy-lnd.mon.glb,Carbon Flux from Roots to Litter,kg m-2 s-1,longitude latitude time,((FATES_FROOTCTURN_CANOPY_SZ(1:13) + FATES_FROOTCTURN_USTORY_SZ(1:13) + FATES_CROOTCTURN_CANOPY_SZ(1:13) + FATES_CROOTCTURN_USTORY_SZ(1:13))  + FATES_MORTALITY_CFLUX_PF(1:15) *(FATES_FROOTC + FATES_CROOTC)/FATES_VEGC) * FATES_FRAC,mon,,,
land,fVegLitter_tavg-u-hxy-lnd,fVegLitter,land.fVegLitter.tavg-u-hxy-lnd.mon.glb,Total Carbon Flux from Vegetation to Litter,kg m-2 s-1,longitude latitude time,FATES_LITTER_IN*FATES_FRAC,mon,,,
land,,fVegSoil,land.fVegSoil.tavg-u-hxy-lnd.mon.glb,Total Carbon Flux from Vegetation Directly to Soil,kg m-2 s-1,longitude latitude time,,mon,,,
land,fWoodLitter_tavg-u-hxy-lnd,fWoodLitter,land.fWoodLitter.tavg-u-hxy-lnd.mon.glb,Carbon Flux from Wood to Litter,kg m-2 s-1,longitude latitude time,((FATES_STRUCTCTURN_CANOPY_SZ(1:13) + FATES_SAPWOODCTURN_CANOPY_SZ(1:13) + FATES_STRUCTCTURN_USTORY_SZ(1:13) + FATES_SAPWOODCTURN_USTORY_SZ(1:13)) + FATES_MORTALITY_CFLUX_PF(1:15) *(FATES_SAPWOODC + FATES_STRUCTC)/FATES_VEGC  ) * FATES_FRAC,mon,,,
land,gpp_tavg-u-hxy-lnd,gpp,land.gpp.tavg-u-hxy-lnd.mon.glb,Gross Primary Production,kg m-2 s-1,longitude latitude time,FATES_GPP*FATES_FRAC,mon,,,
land,gppVgt_tavg-u-hxy-multi,gpppft,land.gppVgt.tavg-u-hxy-multi.mon.glb,Vegtype level GPP,kg m-2 s-1,longitude latitude pft time,FATES_GPP_PF * FATES_FRAC,mon,,,
land,,highcoverTotal,land.highVegCoverFrac.tavg-u-hxy-u.yr.glb,High Vegetation Cover,%,latitude longitude time,,yr,,,
land,,ignlightTotal,land.ignLightning.tavg-u-hxy-lnd.mon.glb,Ignitions Caused by Lightning,n km-2 day-1,latitude longitude time,,mon,,,
land,isopr_tavg-u-hxy-lnd,isopr,land.isopr.tavg-u-hxy-lnd.mon.glb,Emission flux of isoprene,kg m-2 s-1,longitude latitude time,MEG_isoprene,mon,,,
land,,isoprpft,land.isoprVgt.tavg-u-hxy-multi.mon.glb,Emission flux of isoprene by vegetation type,kg m-2 s-1,longitude latitude pft time,,mon,not possible - clm x pft,MEG_isoprene,
land,lai_tavg-u-hxy-lnd,lai,land.lai.tavg-u-hxy-lnd.mon.glb,Leaf Area Index,,longitude latitude time,FATES_LAI*FATES_FRAC,mon,,,
land,laiVgt_tavg-u-hxy-multi,laipft,land.laiVgt.tavg-u-hxy-multi.mon.glb,Vegtype level Leaf Area Index,,longitude latitude pft time,FATES_LAI_PF * FATES_FRAC,mon,,,
